RegionType,RegionName,State,CBSA Title,SizeRankCity,SizeRankMetro,PctPriceCut,DaysOnMarket,BuyerSellerIndex,BuyerSellerIndexMetro
Zip,75219,TX,"Dallas-Fort Worth-Arlington, TX",3045,4,26.43051771,82,9.894736842,5
Zip,75074,TX,"Dallas-Fort Worth-Arlington, TX",3070,4,23.68421053,48,4.578947368,5
Zip,76010,TX,"Dallas-Fort Worth-Arlington, TX",3096,4,13.75,42,0.157894737,5
Zip,75063,TX,"Dallas-Fort Worth-Arlington, TX",3136,4,22.74881517,54,5.947368421,5
Zip,75024,TX,"Dallas-Fort Worth-Arlington, TX",3146,4,23.94957983,62,8.947368421,5
Zip,75023,TX,"Dallas-Fort Worth-Arlington, TX",3165,4,24.63054187,45,4.315789474,5
Zip,75227,TX,"Dallas-Fort Worth-Arlington, TX",3230,4,18.18181818,53,2.894736842,5
Zip,75006,TX,"Dallas-Fort Worth-Arlington, TX",3281,4,20.27972028,43,1.473684211,5
Zip,75062,TX,"Dallas-Fort Worth-Arlington, TX",3368,4,16.66666667,48,1.368421053,5
Zip,76112,TX,"Dallas-Fort Worth-Arlington, TX",3399,4,19.11764706,51,3,5
Zip,75216,TX,"Dallas-Fort Worth-Arlington, TX",3410,4,17,72,6.421052632,5
Zip,76017,TX,"Dallas-Fort Worth-Arlington, TX",3434,4,16.03773585,42,0.263157895,5
Zip,75214,TX,"Dallas-Fort Worth-Arlington, TX",3451,4,25.99277978,59.5,9.263157895,5
Zip,75126,TX,"Dallas-Fort Worth-Arlington, TX",3452,4,25.23874488,52,7.315789474,5
Zip,75248,TX,"Dallas-Fort Worth-Arlington, TX",3466,4,23.84937238,50,5.789473684,5
Zip,76039,TX,"Dallas-Fort Worth-Arlington, TX",3470,4,30.17241379,39,4.894736842,5
Zip,75104,TX,"Dallas-Fort Worth-Arlington, TX",3579,4,15.2284264,56,2.947368421,5
Zip,76108,TX,"Dallas-Fort Worth-Arlington, TX",3605,4,19.40789474,44,1.263157895,5
Zip,75019,TX,"Dallas-Fort Worth-Arlington, TX",3676,4,30.52208835,53,8.736842105,5
Zip,75013,TX,"Dallas-Fort Worth-Arlington, TX",3838,4,27.99043062,60,9.473684211,5
Zip,75165,TX,"Dallas-Fort Worth-Arlington, TX",3862,4,23.66666667,55,7.157894737,5
Zip,75050,TX,"Dallas-Fort Worth-Arlington, TX",3996,4,16.32653061,45,0.631578947,5
Zip,76021,TX,"Dallas-Fort Worth-Arlington, TX",4017,4,25.73099415,40,3.789473684,5
Zip,75028,TX,"Dallas-Fort Worth-Arlington, TX",4077,4,22.22222222,45,2.473684211,5
Zip,75044,TX,"Dallas-Fort Worth-Arlington, TX",4080,4,23.28042328,51,5.526315789,5
Zip,76107,TX,"Dallas-Fort Worth-Arlington, TX",4125,4,24.4648318,71,9.421052632,5
Zip,75075,TX,"Dallas-Fort Worth-Arlington, TX",4211,4,31.03448276,46,7.052631579,5
Zip,76119,TX,"Dallas-Fort Worth-Arlington, TX",4239,4,14.75409836,64,4.210526316,5
Zip,75060,TX,"Dallas-Fort Worth-Arlington, TX",4266,4,16.66666667,47,0.947368421,5
Zip,75154,TX,"Dallas-Fort Worth-Arlington, TX",4268,4,24.61538462,49,6.210526316,5
Zip,76262,TX,"Dallas-Fort Worth-Arlington, TX",4275,4,21.02272727,59,6.894736842,5
Zip,76180,TX,"Dallas-Fort Worth-Arlington, TX",4278,4,25.71428571,46,5.421052632,5
Zip,75081,TX,"Dallas-Fort Worth-Arlington, TX",4336,4,25.17482517,45,4.736842105,5
Zip,76210,TX,"Dallas-Fort Worth-Arlington, TX",4365,4,25.42955326,44,4.421052632,5
Zip,75069,TX,"Dallas-Fort Worth-Arlington, TX",4398,4,24,55,7.473684211,5
Zip,75220,TX,"Dallas-Fort Worth-Arlington, TX",4450,4,26.41509434,85,9.947368421,5
Zip,75038,TX,"Dallas-Fort Worth-Arlington, TX",4694,4,16.48351648,51.5,2.210526316,5
Zip,75087,TX,"Dallas-Fort Worth-Arlington, TX",4763,4,24.08963585,56,7.842105263,5
Zip,76248,TX,"Dallas-Fort Worth-Arlington, TX",4767,4,27.85234899,54,8.789473684,5
Zip,76131,TX,"Dallas-Fort Worth-Arlington, TX",4907,4,22.88888889,47,3.421052632,5
Zip,76013,TX,"Dallas-Fort Worth-Arlington, TX",4924,4,22,41,1.684210526,5
Zip,76006,TX,"Dallas-Fort Worth-Arlington, TX",4929,4,14.51612903,54,2.263157895,5
Zip,76065,TX,"Dallas-Fort Worth-Arlington, TX",4978,4,16.79389313,65,5.263157895,5
Zip,75077,TX,"Dallas-Fort Worth-Arlington, TX",5018,4,20.28985507,49,2.842105263,5
Zip,76227,TX,"Dallas-Fort Worth-Arlington, TX",5053,4,25.25083612,53,7.578947368,5
Zip,75230,TX,"Dallas-Fort Worth-Arlington, TX",5068,4,22.1574344,105,9.157894737,5
Zip,76132,TX,"Dallas-Fort Worth-Arlington, TX",5109,4,22.04724409,62,7.684210526,5
Zip,75252,TX,"Dallas-Fort Worth-Arlington, TX",5178,4,21.26436782,56,6.157894737,5
Zip,75238,TX,"Dallas-Fort Worth-Arlington, TX",5279,4,35,59,9.736842105,5
Zip,75051,TX,"Dallas-Fort Worth-Arlington, TX",5293,4,6.349206349,46,0.210526316,5
Zip,75033,TX,"Dallas-Fort Worth-Arlington, TX",5326,4,24.8427673,67,9.368421053,5
Zip,76049,TX,"Dallas-Fort Worth-Arlington, TX",5426,4,13.65461847,54,2.052631579,5
Zip,76053,TX,"Dallas-Fort Worth-Arlington, TX",5531,4,20.68965517,40,1.210526316,5
Zip,75039,TX,"Dallas-Fort Worth-Arlington, TX",5598,4,20.83333333,77,8.473684211,5
Zip,75234,TX,"Dallas-Fort Worth-Arlington, TX",5635,4,28.16901408,46,6.526315789,5
Zip,75254,TX,"Dallas-Fort Worth-Arlington, TX",5710,4,18.42105263,60,5.368421053,5
Zip,75010,TX,"Dallas-Fort Worth-Arlington, TX",5727,4,24.07407407,49.5,5.842105263,5
Zip,75229,TX,"Dallas-Fort Worth-Arlington, TX",5766,4,25.27881041,61,9.210526316,5
Zip,75042,TX,"Dallas-Fort Worth-Arlington, TX",5772,4,20.23809524,41,1,5
Zip,76182,TX,"Dallas-Fort Worth-Arlington, TX",5808,4,25.98870056,45,5.105263158,5
Zip,76117,TX,"Dallas-Fort Worth-Arlington, TX",5831,4,17.58241758,42,0.473684211,5
Zip,76040,TX,"Dallas-Fort Worth-Arlington, TX",5854,4,21.27659574,42,1.894736842,5
Zip,76016,TX,"Dallas-Fort Worth-Arlington, TX",5885,4,22.27979275,45,2.631578947,5
Zip,76048,TX,"Dallas-Fort Worth-Arlington, TX",5905,4,19.1011236,53,3.368421053,5
Zip,76087,TX,"Dallas-Fort Worth-Arlington, TX",5916,4,15.6626506,45,0.578947368,5
Zip,75208,TX,"Dallas-Fort Worth-Arlington, TX",5921,4,24.65753425,76,9.789473684,5
Zip,75032,TX,"Dallas-Fort Worth-Arlington, TX",5940,4,20.82262211,64,7.421052632,5
Zip,76014,TX,"Dallas-Fort Worth-Arlington, TX",6010,4,16.41791045,42,0.315789474,5
Zip,76020,TX,"Dallas-Fort Worth-Arlington, TX",6030,4,19.81981982,57,5.210526316,5
Zip,76012,TX,"Dallas-Fort Worth-Arlington, TX",6199,4,17.36111111,51,2.368421053,5
Zip,75218,TX,"Dallas-Fort Worth-Arlington, TX",6332,4,26.37362637,56,9,5
Zip,75224,TX,"Dallas-Fort Worth-Arlington, TX",6351,4,34.11764706,74,10,5
Zip,75189,TX,"Dallas-Fort Worth-Arlington, TX",6364,4,25.97402597,56,8.894736842,5
Zip,76033,TX,"Dallas-Fort Worth-Arlington, TX",6390,4,16.25,56,3.263157895,5
Zip,75241,TX,"Dallas-Fort Worth-Arlington, TX",6394,4,15.23809524,62,4.105263158,5
Zip,75089,TX,"Dallas-Fort Worth-Arlington, TX",6408,4,27.77777778,52.5,8.157894737,5
Zip,76123,TX,"Dallas-Fort Worth-Arlington, TX",6431,4,22.14765101,48,3.526315789,5
Zip,76001,TX,"Dallas-Fort Worth-Arlington, TX",6463,4,18.71345029,42,0.842105263,5
Zip,76109,TX,"Dallas-Fort Worth-Arlington, TX",6531,4,27.5862069,61,9.578947368,5
Zip,76110,TX,"Dallas-Fort Worth-Arlington, TX",6536,4,19.09090909,65,6.631578947,5
Zip,75240,TX,"Dallas-Fort Worth-Arlington, TX",6548,4,23.80952381,57.5,7.947368421,5
Zip,76226,TX,"Dallas-Fort Worth-Arlington, TX",6639,4,24.56747405,65,9.315789474,5
Zip,76209,TX,"Dallas-Fort Worth-Arlington, TX",6715,4,21.81818182,41.5,1.736842105,5
Zip,75232,TX,"Dallas-Fort Worth-Arlington, TX",6722,4,18.42105263,56,3.947368421,5
Zip,76140,TX,"Dallas-Fort Worth-Arlington, TX",6733,4,10.34482759,43,0.105263158,5
Zip,76036,TX,"Dallas-Fort Worth-Arlington, TX",6784,4,18.06722689,48,1.842105263,5
Zip,75205,TX,"Dallas-Fort Worth-Arlington, TX",6796,4,12.98701299,99,5.578947368,5
Zip,75041,TX,"Dallas-Fort Worth-Arlington, TX",6862,4,20.51282051,42,1.421052632,5
Zip,76092,TX,"Dallas-Fort Worth-Arlington, TX",6881,4,20.81784387,67,7.631578947,5
Zip,75082,TX,"Dallas-Fort Worth-Arlington, TX",6882,4,24.03846154,56,7.736842105,5
Zip,75225,TX,"Dallas-Fort Worth-Arlington, TX",6942,4,20.68965517,100,8.631578947,5
Zip,75160,TX,"Dallas-Fort Worth-Arlington, TX",6994,4,14.38848921,56,2.578947368,5
Zip,76002,TX,"Dallas-Fort Worth-Arlington, TX",7027,4,17.24137931,44,0.684210526,5
Zip,75078,TX,"Dallas-Fort Worth-Arlington, TX",7051,4,20.1884253,88.5,8.052631579,5
Zip,76114,TX,"Dallas-Fort Worth-Arlington, TX",7062,4,18.03278689,55,3.578947368,5
Zip,76126,TX,"Dallas-Fort Worth-Arlington, TX",7113,4,14.74654378,53,2.105263158,5
Zip,75001,TX,"Dallas-Fort Worth-Arlington, TX",7154,4,20,64,6.947368421,5
Zip,75201,TX,"Dallas-Fort Worth-Arlington, TX",7158,4,14.45783133,165.5,6.263157895,5
Zip,75119,TX,"Dallas-Fort Worth-Arlington, TX",7168,4,13.76146789,75,5.315789474,5
Zip,76034,TX,"Dallas-Fort Worth-Arlington, TX",7245,4,21.24542125,65.5,7.894736842,5
Zip,76208,TX,"Dallas-Fort Worth-Arlington, TX",7327,4,24.63768116,50,6.842105263,5
Zip,76134,TX,"Dallas-Fort Worth-Arlington, TX",7497,4,16.82242991,45,0.736842105,5
Zip,76018,TX,"Dallas-Fort Worth-Arlington, TX",7599,4,11.70212766,38,0.052631579,5
Zip,75088,TX,"Dallas-Fort Worth-Arlington, TX",7611,4,24.27745665,51,6.684210526,5
Zip,75048,TX,"Dallas-Fort Worth-Arlington, TX",7746,4,24.34210526,49.5,6.052631579,5
Zip,76148,TX,"Dallas-Fort Worth-Arlington, TX",7802,4,32,42,5.736842105,5
Zip,75146,TX,"Dallas-Fort Worth-Arlington, TX",7843,4,12.04819277,54,1.631578947,5
Zip,75022,TX,"Dallas-Fort Worth-Arlington, TX",7927,4,20.45454545,54,4.157894737,5
Zip,75180,TX,"Dallas-Fort Worth-Arlington, TX",7937,4,9.722222222,62,3.315789474,5
Zip,76135,TX,"Dallas-Fort Worth-Arlington, TX",8034,4,16.49484536,50,1.947368421,5
Zip,75181,TX,"Dallas-Fort Worth-Arlington, TX",8084,4,23.61111111,48,4.263157895,5
Zip,76120,TX,"Dallas-Fort Worth-Arlington, TX",8164,4,18.05555556,43,0.789473684,5
Zip,76009,TX,"Dallas-Fort Worth-Arlington, TX",8171,4,13.51351351,57.5,2.789473684,5
Zip,75215,TX,"Dallas-Fort Worth-Arlington, TX",8218,4,10.20408163,72,4.526315789,5
Zip,75142,TX,"Dallas-Fort Worth-Arlington, TX",8325,4,19.17808219,70.5,7.263157895,5
Zip,76052,TX,"Dallas-Fort Worth-Arlington, TX",8360,4,17.9389313,54,3.210526316,5
Zip,75407,TX,"Dallas-Fort Worth-Arlington, TX",8372,4,10.16260163,48,0.526315789,5
Zip,75402,TX,"Dallas-Fort Worth-Arlington, TX",8409,4,23.14814815,56,7.210526316,5
Zip,76205,TX,"Dallas-Fort Worth-Arlington, TX",8448,4,22.22222222,41,2,5
Zip,75401,TX,"Dallas-Fort Worth-Arlington, TX",8455,4,7.547169811,71,3.894736842,5
Zip,76234,TX,"Dallas-Fort Worth-Arlington, TX",8520,4,17.64705882,64,5.684210526,5
Zip,75209,TX,"Dallas-Fort Worth-Arlington, TX",8539,4,24.29906542,83,9.684210526,5
Zip,75094,TX,"Dallas-Fort Worth-Arlington, TX",8560,4,24.24242424,48,5.052631579,5
Zip,76177,TX,"Dallas-Fort Worth-Arlington, TX",8567,4,23.03921569,54,6.105263158,5
Zip,75137,TX,"Dallas-Fort Worth-Arlington, TX",8589,4,6.741573034,53,1.157894737,5
Zip,76058,TX,"Dallas-Fort Worth-Arlington, TX",8611,4,14.66666667,55,2.421052632,5
Zip,76111,TX,"Dallas-Fort Worth-Arlington, TX",8615,4,25.45454545,58,9.052631579,5
Zip,76008,TX,"Dallas-Fort Worth-Arlington, TX",8747,4,23.36065574,50,5.157894737,5
Zip,75474,TX,"Dallas-Fort Worth-Arlington, TX",8771,4,13.41463415,72,4.842105263,5
Zip,75116,TX,"Dallas-Fort Worth-Arlington, TX",8774,4,14.81481481,51,1.578947368,5
Zip,75134,TX,"Dallas-Fort Worth-Arlington, TX",8800,4,9.090909091,56.5,2.315789474,5
Zip,75159,TX,"Dallas-Fort Worth-Arlington, TX",8965,4,19.14893617,55,4,5
Zip,75409,TX,"Dallas-Fort Worth-Arlington, TX",9079,4,21.86379928,54,5.473684211,5
Zip,76031,TX,"Dallas-Fort Worth-Arlington, TX",9117,4,23.1884058,62,8.210526316,5
Zip,76207,TX,"Dallas-Fort Worth-Arlington, TX",9128,4,16.98113208,65.5,5.631578947,5
Zip,76266,TX,"Dallas-Fort Worth-Arlington, TX",9150,4,13.51351351,47,0.421052632,5
Zip,76118,TX,"Dallas-Fort Worth-Arlington, TX",9233,4,18.29268293,45,1.105263158,5
Zip,75244,TX,"Dallas-Fort Worth-Arlington, TX",9323,4,27.18446602,68,9.842105263,5
Zip,76247,TX,"Dallas-Fort Worth-Arlington, TX",9539,4,22.58064516,46,3.105263158,5
Zip,75054,TX,"Dallas-Fort Worth-Arlington, TX",9587,4,20.14925373,54,3.842105263,5
